Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,Blank,,,
2104/5/32 (Monday) 30:31:35,999,255,9,LED Status,LED Intensity,6,40,40293,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,543,49,6,4,10,46,90,541,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:31:39,999,255,9,LED Status,LED Intensity,6,44,44281,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,543,49,7,5,9,45,90,541,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:31:43,999,255,9,LED Status,LED Intensity,6,48,48268,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,543,50,6,5,9,47,90,543,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:31:47,999,255,9,LED Status,LED Intensity,6,52,52256,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,111,545,49,7,4,10,47,91,543,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:31:51,999,255,9,LED Status,LED Intensity,6,56,56244,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,542,50,6,4,10,45,89,542,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:31:55,999,255,9,LED Status,LED Intensity,6,60,60232,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,543,50,6,4,10,46,90,541,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:31:59,999,255,9,LED Status,LED Intensity,6,64,64218,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,542,49,6,3,9,47,90,541,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:32:8,999,255,9,LED Status,LED Intensity,6,73,73206,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,7,0,0,305,1196,turbidity,,,,,,
2104/5/32 (Monday) 30:32:12,999,255,9,LED Status,LED Intensity,6,77,77195,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,7,0,0,300,1186,turbidity,,,,,,
2104/5/32 (Monday) 30:32:16,999,255,9,LED Status,LED Intensity,6,81,81183,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,0,0,6,0,0,301,1182,turbidity,,,,,,
2104/5/32 (Monday) 30:32:20,999,255,9,LED Status,LED Intensity,6,85,85171,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,1,1,0,6,0,0,299,1178,turbidity,,,,,,
2104/5/32 (Monday) 30:32:24,999,255,9,LED Status,LED Intensity,6,89,89160,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,7,0,0,297,1178,turbidity,,,,,,
2104/5/32 (Monday) 30:32:28,999,255,9,LED Status,LED Intensity,6,93,93147,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,6,0,0,297,1180,turbidity,,,,,,
2104/5/32 (Monday) 30:32:32,999,255,9,LED Status,LED Intensity,6,97,97134,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,6,0,0,296,1174,turbidity,,,,,,
2104/5/32 (Monday) 30:32:36,999,255,9,LED Status,LED Intensity,6,101,101122,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,0,0,6,0,0,297,1180,turbidity,,,,,,
2104/5/32 (Monday) 30:32:40,999,255,9,LED Status,LED Intensity,6,105,105109,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,297,1180,turbidity,,,,,,
2104/5/32 (Monday) 30:32:43,999,255,9,LED Status,LED Intensity,6,109,109098,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,1,0,6,0,0,299,1180,turbidity,,,,,,
2104/5/32 (Monday) 30:32:47,999,255,9,LED Status,LED Intensity,6,113,113091,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,2,0,5,0,0,296,1178,turbidity,,,,,,
2104/5/32 (Monday) 30:32:51,999,255,9,LED Status,LED Intensity,6,117,117079,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,7,0,0,298,1182,turbidity,,,,,,
2104/5/32 (Monday) 30:32:55,999,255,9,LED Status,LED Intensity,6,121,121067,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,0,0,5,0,0,297,1178,turbidity,,,,,,
2104/5/32 (Monday) 30:32:59,999,255,9,LED Status,LED Intensity,6,125,125054,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,7,0,0,297,1182,turbidity,,,,,,
2104/5/32 (Monday) 30:33:3,999,255,9,LED Status,LED Intensity,6,129,129042,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,0,0,6,0,0,297,1182,turbidity,,,,,,
2104/5/32 (Monday) 30:33:7,999,255,9,LED Status,LED Intensity,6,133,133030,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,0,0,6,0,0,297,1182,turbidity,,,,,,
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,CS3,,,
2104/5/32 (Monday) 30:33:59,999,255,9,LED Status,LED Intensity,6,4,4315,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,519,47,7,8,10,83,172,593,0,chlorophyll a,,168.1875,,,,
2104/5/32 (Monday) 30:34:3,999,255,9,LED Status,LED Intensity,6,8,8304,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,518,48,7,7,10,82,170,591,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:7,999,255,9,LED Status,LED Intensity,6,12,12291,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,520,47,7,5,11,84,169,592,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:11,999,255,9,LED Status,LED Intensity,6,16,16278,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,519,48,6,6,12,81,168,591,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:15,999,255,9,LED Status,LED Intensity,6,20,20265,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,109,523,49,6,7,11,83,168,596,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:19,999,255,9,LED Status,LED Intensity,6,24,24253,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,526,49,8,6,9,83,167,596,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:23,999,255,9,LED Status,LED Intensity,6,28,28241,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,108,527,49,8,7,11,82,169,594,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:34:27,999,255,9,LED Status,LED Intensity,6,32,32229,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,107,519,48,8,5,11,82,168,591,0,chlorophyll a,,,,,,
